"Variável","Descrição.sobre.as.variáveis"
"VAR01","Quantidade de postagens do aluno em fóruns"
"VAR04","Quantidade de geral mensagens enviadas pelo aluno"
"VAR05","Quantidade de geral mensagens recebidas pelo aluno"
"VAR11","Média semanal de mensagens enviadas pelo aluno "
"VAR12","Média semanal de acessos do aluno ao ambiente"
"VAR14","Quantidade de atividades entregues pelo aluno no prazo"
"VAR16","Quantidade de colegas diferentes para quem o aluno enviou mensagens"
"VAR17","Tempo médio semanal de utilização da plataforma pelo aluno"
"VAR18","Quantidade de acessos do aluno ao ambiente"
"VAR19","Quantidade de mensagens enviadas por aluno ao professores"
"VAR22","Quantidade de mensagens enviadas por aluno para colegas"
"VAR31","Quantidade de acessos do aluno aos fóruns"
"VAR39","Quantidade de postagens do aluno em fóruns em resposta a outros alunos"
