"Variável";"Descrição";"Construto"
"VAR01";"Quantidade de postagens do aluno em fóruns";"Geral"
"VAR04";"Quantidade de geral mensagens enviadas pelo aluno";"Geral"
"VAR05";"Quantidade de geral mensagens recebidas pelo aluno";"Geral"
"VAR11";"Média semanal de mensagens enviadas pelo aluno ";"Geral"
"VAR12";"Média semanal de acessos do aluno ao ambiente";"Geral"
"VAR14";"Quantidade de atividades entregues pelo aluno no prazo";"Geral"
"VAR16";"Quantidade de colegas diferentes para quem o aluno enviou mensagens";"Geral"
"VAR17";"Tempo médio semanal de utilização da plataforma pelo aluno";"Geral"
"VAR18";"Quantidade de acessos do aluno ao ambiente";"Geral"
"VAR19";"Quantidade de mensagens enviadas por aluno ao professores";"Geral"
"VAR22";"Quantidade de mensagens enviadas por aluno para colegas";"Geral"
"VAR31";"Quantidade de acessos do aluno aos fóruns";"Geral"
"VAR39";"Quantidade de postagens do aluno em fóruns em resposta a outros alunos";"Geral"
